inventory_id,workbook,workbook_sha256,worksheet,sheet_visibility,cell_address,row,column,exact_formula_text,normalized_formula_text,current_displayed_result,current_displayed_result_type,error_state,contains_broken_ref,referenced_sheets_json,referenced_ranges_json,detected_formula_shape,cell_role,input_topology,translation_status,validation_feasibility,activity_status,required_missing_domain_concepts_json,evidence_confidence,evidence_notes
62c07b39808ad062dff275f9,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,C25,25,3,"=IF(D25="""",""x"",IFERROR(FLOOR((D25*(1+$C$2/100)+IF(ISNUMBER($C$3),$C$3,0))*1000000,50000),""x""))","=IF(RC[1]="""",""x"",IFERROR(FLOOR((RC[1]*(1+R2C3/100)+IF(ISNUMBER(R3C3),R3C3,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D25"",""raw"":""D25"",""qualified"":""'Belkin'!D25""},{""sheet"":""Belkin"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Belkin'!$C$2""},{""sheet"":""Belkin"",""range"":""$C$3"",""raw"":""$C$3"",""qualified"":""'Belkin'!$C$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
55dcba611ae812af43ef7cb7,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,D25,25,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E25:G25,E25:G25<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[3],RC[1]:RC[3]<>0)),""❌"")",❌,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""E25:G25"",""raw"":""E25:G25"",""qualified"":""'Belkin'!E25:G25""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
bfd2f5c17db7102529cf2084,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,I25,25,9,"=IF(D25="""",""x"",IFERROR(FLOOR((D25*(1+$I$2/100)+IF(ISNUMBER($I$3),$I$3,0))*1000000,50000),""x""))","=IF(RC[-5]="""",""x"",IFERROR(FLOOR((RC[-5]*(1+R2C9/100)+IF(ISNUMBER(R3C9),R3C9,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D25"",""raw"":""D25"",""qualified"":""'Belkin'!D25""},{""sheet"":""Belkin"",""range"":""$I$2"",""raw"":""$I$2"",""qualified"":""'Belkin'!$I$2""},{""sheet"":""Belkin"",""range"":""$I$3"",""raw"":""$I$3"",""qualified"":""'Belkin'!$I$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
01c9a5fdb32163e12923e9e4,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,K25,25,11,"=IF(D25="""",""x"",IFERROR(FLOOR((D25*(1+$K$2/100)+IF(ISNUMBER($K$3),$K$3,0))*1000000,50000),""x""))","=IF(RC[-7]="""",""x"",IFERROR(FLOOR((RC[-7]*(1+R2C11/100)+IF(ISNUMBER(R3C11),R3C11,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D25"",""raw"":""D25"",""qualified"":""'Belkin'!D25""},{""sheet"":""Belkin"",""range"":""$K$2"",""raw"":""$K$2"",""qualified"":""'Belkin'!$K$2""},{""sheet"":""Belkin"",""range"":""$K$3"",""raw"":""$K$3"",""qualified"":""'Belkin'!$K$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
2ec7d7ba0deadd8150e5c27c,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,C26,26,3,"=IF(D26="""",""x"",IFERROR(FLOOR((D26*(1+$C$2/100)+IF(ISNUMBER($C$3),$C$3,0))*1000000,50000),""x""))","=IF(RC[1]="""",""x"",IFERROR(FLOOR((RC[1]*(1+R2C3/100)+IF(ISNUMBER(R3C3),R3C3,0))*1000000,50000),""x""))",2850000,number,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D26"",""raw"":""D26"",""qualified"":""'Belkin'!D26""},{""sheet"":""Belkin"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Belkin'!$C$2""},{""sheet"":""Belkin"",""range"":""$C$3"",""raw"":""$C$3"",""qualified"":""'Belkin'!$C$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
aabe91aa5a5d66c97cd4a94d,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,D26,26,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E26:G26,E26:G26<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[3],RC[1]:RC[3]<>0)),""❌"")",2.1,number,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""E26:G26"",""raw"":""E26:G26"",""qualified"":""'Belkin'!E26:G26""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
c2b5adadc4daaf56e0a1fe18,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,I26,26,9,"=IF(D26="""",""x"",IFERROR(FLOOR((D26*(1+$I$2/100)+IF(ISNUMBER($I$3),$I$3,0))*1000000,50000),""x""))","=IF(RC[-5]="""",""x"",IFERROR(FLOOR((RC[-5]*(1+R2C9/100)+IF(ISNUMBER(R3C9),R3C9,0))*1000000,50000),""x""))",2900000,number,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D26"",""raw"":""D26"",""qualified"":""'Belkin'!D26""},{""sheet"":""Belkin"",""range"":""$I$2"",""raw"":""$I$2"",""qualified"":""'Belkin'!$I$2""},{""sheet"":""Belkin"",""range"":""$I$3"",""raw"":""$I$3"",""qualified"":""'Belkin'!$I$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
c6b68079e3032eb07d38368b,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,K26,26,11,"=IF(D26="""",""x"",IFERROR(FLOOR((D26*(1+$K$2/100)+IF(ISNUMBER($K$3),$K$3,0))*1000000,50000),""x""))","=IF(RC[-7]="""",""x"",IFERROR(FLOOR((RC[-7]*(1+R2C11/100)+IF(ISNUMBER(R3C11),R3C11,0))*1000000,50000),""x""))",2800000,number,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D26"",""raw"":""D26"",""qualified"":""'Belkin'!D26""},{""sheet"":""Belkin"",""range"":""$K$2"",""raw"":""$K$2"",""qualified"":""'Belkin'!$K$2""},{""sheet"":""Belkin"",""range"":""$K$3"",""raw"":""$K$3"",""qualified"":""'Belkin'!$K$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
f0e08c041114165b912b118c,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,C27,27,3,"=IF(D27="""",""x"",IFERROR(FLOOR((D27*(1+$C$2/100)+IF(ISNUMBER($C$3),$C$3,0))*1000000,50000),""x""))","=IF(RC[1]="""",""x"",IFERROR(FLOOR((RC[1]*(1+R2C3/100)+IF(ISNUMBER(R3C3),R3C3,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D27"",""raw"":""D27"",""qualified"":""'Belkin'!D27""},{""sheet"":""Belkin"",""range"":""$C$2"",""raw"":""$C$2"",""qualified"":""'Belkin'!$C$2""},{""sheet"":""Belkin"",""range"":""$C$3"",""raw"":""$C$3"",""qualified"":""'Belkin'!$C$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
afb3a982264efa4084eac8ed,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,D27,27,4,"=IFERROR(MIN(_xlfn._xlws.FILTER(E27:G27,E27:G27<>0)),""❌"")","=IFERROR(MIN(FILTER(RC[1]:RC[3],RC[1]:RC[3]<>0)),""❌"")",❌,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""E27:G27"",""raw"":""E27:G27"",""qualified"":""'Belkin'!E27:G27""}]",A2,basis_selection,multi_source,supported,replayable,unknown,[],high,
ff4e8797e69e7c89d54e5990,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,I27,27,9,"=IF(D27="""",""x"",IFERROR(FLOOR((D27*(1+$I$2/100)+IF(ISNUMBER($I$3),$I$3,0))*1000000,50000),""x""))","=IF(RC[-5]="""",""x"",IFERROR(FLOOR((RC[-5]*(1+R2C9/100)+IF(ISNUMBER(R3C9),R3C9,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D27"",""raw"":""D27"",""qualified"":""'Belkin'!D27""},{""sheet"":""Belkin"",""range"":""$I$2"",""raw"":""$I$2"",""qualified"":""'Belkin'!$I$2""},{""sheet"":""Belkin"",""range"":""$I$3"",""raw"":""$I$3"",""qualified"":""'Belkin'!$I$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
c0931e7ffb70e93a15d92cb7,Price List.xlsx,a529c3306d6db3923eb55451562c5a1eb4886861c45b390cddfdfc6f70db6a45,Belkin,visible,K27,27,11,"=IF(D27="""",""x"",IFERROR(FLOOR((D27*(1+$K$2/100)+IF(ISNUMBER($K$3),$K$3,0))*1000000,50000),""x""))","=IF(RC[-7]="""",""x"",IFERROR(FLOOR((RC[-7]*(1+R2C11/100)+IF(ISNUMBER(R3C11),R3C11,0))*1000000,50000),""x""))",x,text,,False,"[""Belkin""]","[{""sheet"":""Belkin"",""range"":""D27"",""raw"":""D27"",""qualified"":""'Belkin'!D27""},{""sheet"":""Belkin"",""range"":""$K$2"",""raw"":""$K$2"",""qualified"":""'Belkin'!$K$2""},{""sheet"":""Belkin"",""range"":""$K$3"",""raw"":""$K$3"",""qualified"":""'Belkin'!$K$3""}]",A1,price_target_candidate,derived_reference,supported,replayable,unknown,[],high,
